Artist,ID,Artist_name,Country,Area,Genre,Artist OG,artist_match
100 HITS SERIES,40ab4b9c-7740-4d22-85bf-d48ce0c3db59,SERIES,,Melbourne,other,100 HITS SERIES,57
100  HITS SERIES  AUSTRALIA ,8a63d651-0fa9-4b94-8569-e180899c427a,AUSTRALIA,,,other,100% HITS SERIES (AUSTRALIA),49
100  SERIES  UK ,a57d7a1b-b7ef-4f36-bbf6-9f5a167cd08d,UK SUBS,GB,United Kingdom,punk,100% SERIES (UK),26
101 HITS SERIES  UK ,5c176092-cb4d-4e05-806b-1e9414f2b28c,101 STRINGS,US,United States,other,101 HITS SERIES (UK),52
4 HIM,4cc51547-88ae-49a2-bf7e-0ef65ee7a94c,HIM,FI,Finland,pop rock,4 HIM,75
A VERY SPECIAL CHRISTMAS SERIES,f73758ba-0b95-42af-b39f-72f96fc7bd20,A VERY WEEZY CHRISTMAS,,,other,A VERY SPECIAL CHRISTMAS SERIES,68
A WINTER S SOLSTICE SERIES,613257ee-017c-47d4-b9a6-010a7d24ba9a,WINTER SOLSTICE,US,United States,other,A WINTER`S SOLSTICE SERIES,73
ADDICTED TO BASS SERIES,548a66ec-1e86-4c61-91d9-fb16b53d4b72,ADDICTED TO NOISE,,Nordrhein-Westfalen,other,ADDICTED TO BASS SERIES,70
ALL TIME CLASSIC TEARJERKERS SERIES,62162215-b023-4f0e-84bd-1e9412d5b32c,ALL TIME LOW,US,United States,other,ALL TIME CLASSIC TEARJERKERS SERIES,43
ALL TIME GREATEST SERIES,62162215-b023-4f0e-84bd-1e9412d5b32c,ALL TIME LOW,US,United States,other,ALL TIME GREATEST SERIES,50
AMERICAN IDOL SERIES,9c355987-ef25-4f58-883e-67f5dead35e7,AMERICAN IDOL ENSEMBLE,US,United States,other,AMERICAN IDOL SERIES,81
ANTHEMS SERIES  UK ,a57d7a1b-b7ef-4f36-bbf6-9f5a167cd08d,UK SUBS,GB,United Kingdom,punk,ANTHEMS SERIES (UK),23
BBC RADIO 1 S LIVE LOUNGE SERIES,be34a023-33d1-4db1-8133-61e9e5cd2e8b,BBC RADIO 1,,,other,BBC RADIO 1`S LIVE LOUNGE SERIES,51
BEST OF DANCE SERIES,dd48cb10-3d50-4be0-bab0-42e4aac1cf3d,BEST OF,,Comunidad Valenciana,other,BEST OF DANCE SERIES,52
BIG SHINY TUNES SERIES,5f4829b0-318d-45a9-a52e-0ff165e17026,SHINY,,,other,BIG SHINY TUNES SERIES,37
BILLBOARD TOP ROCK N ROLL HITS SERIES,aa53ccbd-f636-4627-9458-6a28feb6fa41,TOP HITS,,,other,BILLBOARD TOP ROCK`N`ROLL HITS SERIES,36
BRIT AWARDS SERIES,dd99d1d6-20d0-4a59-8e4f-62f586290cf3,AWARDS,,,other,BRIT AWARDS SERIES,50
BRUCE WILLIS,70248960-cb53-4ea4-943a-edb18f7d336f,BRUCE SPRINGSTEEN,US,United States,rock,BRUCE WILLIS,55
CAFE DEL MAR SERIES,67c5183c-c8ad-4d0c-8203-3d5a565c12aa,CAFE DEL MAR,,,other,CAFE DEL MAR SERIES,77
CAPITAL GOLD SERIES,efc0fdb7-9927-442a-9416-e76a223e056c,CAPITAL CAPITAL,,,other,CAPITAL GOLD SERIES,53
CHART HITS SERIES,40ab4b9c-7740-4d22-85bf-d48ce0c3db59,SERIES,,Melbourne,other,CHART HITS SERIES,52
CHILLOUT SESSION SERIES  UK ,a57d7a1b-b7ef-4f36-bbf6-9f5a167cd08d,UK SUBS,GB,United Kingdom,punk,CHILLOUT SESSION SERIES (UK),23
CLASSIC DISNEY SERIES,66ea0139-149f-4a0c-8fbf-5ea9ec4a6e49, DISNEY ,US,United States,other,CLASSIC DISNEY SERIES,55
CLASSIC EXPERIENCE SERIES,40ab4b9c-7740-4d22-85bf-d48ce0c3db59,SERIES,,Melbourne,other,CLASSIC EXPERIENCE SERIES,39
CLASSIC ROCK SERIES,96561031-e17a-4da7-b642-1bb87b85b0c9,CLASSIC ROCK ORCHESTRA,,,other,CLASSIC ROCK SERIES,78
CLUB MIX   COLD FRONT SERIES,033de5f1-5f4a-4db4-b677-35d7fbdf8367,COLD FRONT,US,United States,other,CLUB MIX - COLD FRONT SERIES,53
CLUB MIX POLYGRAM TV SERIES,38f59974-2f4d-4bfa-b2e3-d2696de1b675,LITTLE MIX,GB,United Kingdom,pop,CLUB MIX POLYGRAM TV SERIES,27
CLUBBERS GUIDE SERIES,fd23f74a-8a7f-46d6-9e95-856cbd702bf0,GUIDE,SE,Sweden,other,CLUBBERS GUIDE SERIES,38
CLUBLAND SERIES,4b678dc4-9a5d-4d8a-881e-3bd76de95a97,CLUBLAND,SE,Sweden,other,CLUBLAND SERIES,70
CLUBMIX SERIES,12bd4263-5277-496e-b6d1-3f3731c08992,VEGA CLUBMIX,,,other,CLUBMIX SERIES,54
CREAM ANTHEMS SERIES,04cd0cfd-bfd1-4c36-bc38-95c35e2c045f,CREAM,GB,United Kingdom,rock,CREAM ANTHEMS SERIES,40
