Subgenre,Count,Genre
pop,649,Pop
rock,648,Rock
hip hop,543,Hip Hop
jazz,286,Jazz
alternative rock,224,Rock
country,203,Country
soul,189,Soul
classical,146,Classical
singer-songwriter,138,Other
latin,135,Latin
hard rock,128,Rock
electronic,126,Electronic
french,126,Other
folk,125,Folk
indie rock,124,Rock
latin pop,107,Latin
turkish,105,Other
pop rock,100,Rock
j-pop,86,Pop
new wave,85,Pop
german,81,Other
classic pop and rock,79,Pop
british,77,Pop
likedis auto,65,Other
norwegian,64,Other
progressive rock,63,Rock
reggaeton,60,Reggae
greek,59,Other
sillyname,57,Other
dance-pop,55,Pop
schlager,51,Other
k-pop,51,Pop
rock and indie,50,Rock
blues rock,50,Rock
folk rock,48,Rock
chinese,47,Other
punk,47,Rock
polish,47,Other
r&b,46,R&B
heavy metal,45,Metal
dutch,44,Other
reggae,44,Reggae
japanese,43,Other
eurodance,41,Electronic
finnish,40,Other
rap,39,Hip Hop
indie pop,39,Pop
contemporary r&b,39,R&B
english,36,Pop
funk,34,Funk
italian,34,Other
blues,31,Blues
salsa,31,Latin
2008 universal fire victim,31,Other
uk,30,Pop
soft rock,29,Rock
trip hop,28,Electronic
pop punk,27,Rock
comedy,27,Comedy
swedish,27,Other
mpb,25,Other
pop rap,25,Hip Hop
pop and chart,25,Pop
nu metal,25,Metal
chanson française,24,Other
sertanejo,23,Other
electropop,23,Electronic
hungarian,23,Other
punk rock,23,Rock
contemporary christian,22,Christian
conductor,22,Religious
cantopop,22,Other
house,22,Electronic
soundtrack,21,Classical
disco,21,Funk
drum and bass,21,Electronic
korean ballad,20,Other
danish,20,Other
trance,19,Electronic
canadian,19,Pop
american,19,Pop
ska,19,Reggae
psychedelic rock,18,Rock
gospel,18,Religious
indie folk,18,Folk
dance,18,Electronic
art rock,17,Rock
pianist,17,Classical
synth-pop,17,Pop
latin urban,17,Latin
czech,17,Other
ballad,16,Pop
composer,16,Classical
symphony orchestra,16,Classical
latin ballad,16,Latin
hip hop rnb and dance hall,16,Hip Hop
jazz and blues,16,Jazz
dansband,16,Other
german audiobook reader,15,Other
southern rock,15,Rock
canada,15,Pop
mandopop,15,Pop
austrian,15,Other
metal,15,Metal
has german audiobooks,15,Other
glam metal,15,Metal
dream pop,14,Pop
death by covid-19,14,Other
girl group,14,Pop
power metal,14,Metal
brazilian,14,Other
j-rock,14,Rock
world,14,Other
alternative metal,14,Metal
merengue,13,Other
death metal,13,Metal
post-rock,13,Rock
metalcore,13,Metal
rockabilly,13,Rock
flamenco,12,Latin
synthpop,12,Pop
turbo-folk,12,Folk
spanish,12,Latin
pop soul,12,Pop
post-punk,12,Rock
kpop,12,Pop
power pop,11,Rock
easy listening,11,Other
boy band,11,Pop
the netherlands,11,Other
britpop,11,Rock
tango,11,Latin
gothic rock,11,Rock
country pop,11,Country
new age,11,Other
ambient,11,Other
romanian,11,Other
dubstep,11,Electronic
industrial metal,11,Metal
hip-hop,11,Hip Hop
series title as artist,11,Other
a cappella,11,Other
glam rock,10,Rock
australian,10,Pop
fixme label mess,10,Other
icelandic,10,Other
stoner metal,10,Metal
progressive metal,10,Metal
acid jazz,10,Jazz
singer,10,Pop
psychedelic pop,10,Pop
dancehall,10,Jazz
levenslied,9,Other
chanson,9,Other
cumbia,9,Other
alternative,9,Rock
thrash metal,9,Metal
quebec,9,Other
art pop,9,Pop
europop,9,Pop
electro house,9,Electronic
special purpose artist,8,Other
grunge,8,Rock
orchestra,8,Classical
soprano,8,Classical
country rock,8,Rock
piano,8,Classical
post-grunge,8,Rock
celtic,8,Folk
american idol,8,Pop
dark wave,8,Other
iskelmä,8,Other
garage rock,8,Rock
downtempo,8,Other
indie,8,Rock
swing,7,Jazz
jazz-funk,7,Jazz
electro,7,Electronic
